Kode,Nama
TLKM,Telekomunikasi Indonesia (Persero) Tbk.
TMAS,Pelayaran Tempuran Emas Tbk.
TMPI,Sigmagold Inti Perkasa Tbk.
TMPO,Tempo Inti Media Tbk.
TOBA,Toba Bara Sejahtra Tbk.
TOTL,Total Bangun Persada Tbk.
TOTO,Surya Toto Indonesia Tbk.
TPIA,Chandra Asri Petrochemical Tbk.
TPMA,Trans Power Marine Tbk.
TRIL,Triwira Insanlestari Tbk.
TRIS,Trisula International Tbk.
TRST,Trias Sentosa Tbk.
TRUB,Truba Alam Manunggal Engineering Tbk.
TSPC,Tempo Scan Pacific Tbk.
TURI,Tunas Ridean Tbk.
ULTJ,Ultrajaya Milk Industry & Trading Co. Tbk.
UNIC,Unggul Indah Cahaya Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
VOKS,Voksel Electric Tbk.
WAPO,Wahana Pronatural Tbk.
WICO,Wicaksana Overseas International Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINS,Wintermar Offshore Marine Tbk.
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YPAS,Yanaprima Hastapersada Tbk.
ZBRA,Zebra Nusantara Tbk.
