Date,Open,High,Low,Close,Volume
4-Sep-15,140.74,141.14,139.98,140.39,0
3-Sep-15,140.19,141.17,139.34,140.96,0
2-Sep-15,138.11,139.87,137.37,139.19,0
1-Sep-15,141.58,141.63,139.54,139.58,0
31-Aug-15,140.11,142.31,139.88,142.31,0
28-Aug-15,140.86,141.79,139.24,139.80,0
27-Aug-15,134.82,139.47,134.82,139.32,0
26-Aug-15,132.47,133.33,130.68,133.22,0
25-Aug-15,132.25,136.25,131.86,133.66,0
24-Aug-15,134.86,134.90,129.84,132.04,0
21-Aug-15,140.36,140.36,138.02,138.02,0
20-Aug-15,142.21,142.41,141.00,141.44,0
19-Aug-15,143.11,144.20,142.45,142.67,0
18-Aug-15,145.39,145.61,143.63,143.67,0
14-Aug-15,145.55,146.23,144.54,145.88,0
13-Aug-15,141.95,146.22,141.95,145.69,0
12-Aug-15,145.26,145.27,141.05,141.49,0
11-Aug-15,151.24,151.63,146.66,146.66,0
10-Aug-15,151.63,151.72,150.08,150.90,0
7-Aug-15,152.59,152.81,151.32,151.77,0
6-Aug-15,154.66,154.79,152.46,152.46,0
5-Aug-15,153.20,154.55,152.97,154.55,0
4-Aug-15,152.61,153.58,152.55,152.89,0
3-Aug-15,153.57,154.08,152.73,153.41,0
31-Jul-15,152.26,154.60,152.19,154.50,0
30-Jul-15,152.63,153.02,151.80,151.96,0
29-Jul-15,152.40,153.59,152.04,152.04,0
28-Jul-15,152.29,152.62,151.71,151.77,0
27-Jul-15,154.69,155.25,152.68,152.68,0
24-Jul-15,156.73,156.78,155.32,155.51,0
23-Jul-15,157.06,157.42,156.87,157.23,0
22-Jul-15,157.12,157.56,156.17,157.48,0
15-Jul-15,157.20,157.50,155.99,156.77,0
14-Jul-15,157.81,158.32,157.03,157.37,0
13-Jul-15,156.20,157.21,155.88,157.18,0
10-Jul-15,156.07,156.75,155.40,155.84,0
9-Jul-15,156.09,156.17,154.41,155.29,0
8-Jul-15,158.41,158.41,156.49,156.72,0
7-Jul-15,158.49,158.80,157.17,157.94,0
6-Jul-15,159.32,159.78,158.33,158.43,0
3-Jul-15,158.61,160.47,158.61,160.47,0
2-Jul-15,157.95,159.54,157.95,158.84,0
1-Jul-15,158.47,158.78,157.42,157.42,0
30-Jun-15,156.82,158.53,156.57,157.92,0
29-Jun-15,157.76,157.78,156.34,156.86,0
26-Jun-15,158.78,159.28,157.91,158.47,0
25-Jun-15,159.67,159.75,158.82,158.82,0
24-Jun-15,159.13,160.04,159.05,160.04,0
23-Jun-15,159.20,159.90,158.21,158.21,0
22-Jun-15,160.07,160.08,158.90,158.90,0
19-Jun-15,159.53,160.17,159.38,159.87,0
18-Jun-15,158.59,159.47,158.59,159.28,0
17-Jun-15,157.30,159.05,157.30,158.46,0
16-Jun-15,156.06,157.49,155.49,156.67,0
15-Jun-15,159.04,159.08,155.74,155.74,0
12-Jun-15,159.98,160.28,159.04,159.40,0
11-Jun-15,160.85,161.11,159.16,159.61,0
10-Jun-15,158.05,160.37,158.01,159.40,0
9-Jun-15,160.98,161.00,156.04,157.42,0
8-Jun-15,163.18,163.25,160.72,161.00,0
5-Jun-15,163.65,163.73,162.89,163.66,0
4-Jun-15,165.08,165.87,163.96,163.96,0
3-Jun-15,167.08,167.56,165.25,165.42,0
1-Jun-15,167.21,167.44,166.23,167.44,0
29-May-15,168.05,168.88,167.07,167.07,0
28-May-15,169.10,169.50,168.21,168.27,0
27-May-15,170.42,170.76,168.58,168.58,0
26-May-15,169.82,171.92,169.76,170.95,0
25-May-15,170.11,170.18,169.42,169.56,0
22-May-15,169.93,170.38,169.65,169.96,0
21-May-15,170.70,170.88,169.53,169.87,0
20-May-15,170.26,170.95,169.90,170.24,0
19-May-15,168.98,169.83,168.22,169.83,0
18-May-15,168.83,169.37,168.50,169.11,0
15-May-15,168.84,169.59,168.13,169.02,0
13-May-15,167.62,169.01,166.74,168.61,0
12-May-15,166.48,167.30,166.44,166.86,0
11-May-15,167.31,167.76,166.36,166.36,0
8-May-15,165.96,167.19,165.94,166.62,0
7-May-15,165.25,166.39,164.48,164.96,0
6-May-15,163.83,166.06,163.41,166.06,0
5-May-15,164.14,165.90,163.50,164.70,0
4-May-15,162.22,164.50,162.05,163.85,0
30-Apr-15,162.36,163.94,160.06,161.71,0
29-Apr-15,167.36,167.77,159.94,163.06,0
28-Apr-15,166.45,167.85,164.64,167.85,0
27-Apr-15,171.02,171.49,166.43,167.24,0
24-Apr-15,172.74,173.49,172.14,172.56,0
23-Apr-15,171.69,172.86,171.57,172.10,0
22-Apr-15,172.05,172.41,171.21,171.54,0
21-Apr-15,170.29,172.20,170.16,172.20,0
20-Apr-15,170.86,170.89,169.51,170.01,0
